日期,环节,地点,开始时间,结束时间,耗时h
第1天,起床早餐与整装,酒店,07:00,08:30,1.5
第1天,酒店至景点通勤,酒店->A7,08:30,08:54,0.4
第1天,景点游览,A7,08:54,11:24,2.5
第1天,午餐,途中/景区周边,11:24,12:24,1.0
第1天,景点间通勤,A7->A3,12:24,12:36,0.2
第1天,景点游览,A3,12:36,15:36,3.0
第1天,返程至酒店,A3->酒店,15:36,15:54,0.3
第2天,起床早餐与整装,酒店,07:00,08:30,1.5
第2天,酒店至景点通勤,酒店->A8,08:30,09:12,0.7
第2天,景点游览,A8,09:12,12:12,3.0
第2天,午餐,途中/景区周边,12:12,13:12,1.0
第2天,景点间通勤,A8->A10,13:12,13:30,0.3
第2天,景点游览,A10,13:30,16:30,3.0
第2天,返程至酒店,A10->酒店,16:30,17:00,0.5
第3天,起床早餐与整装,酒店,07:00,08:30,1.5
第3天,酒店至景点通勤,酒店->A2,08:30,09:18,0.8
第3天,景点游览,A2,09:18,14:18,5.0
第3天,返程至酒店,A2->酒店,14:18,15:06,0.8
第3天,正餐,酒店/周边,15:06,16:06,1.0
第4天,起床早餐与整装,酒店,07:00,08:30,1.5
第4天,酒店至景点通勤,酒店->A6,08:30,09:42,1.2
第4天,景点游览,A6,09:42,13:42,4.0
第4天,返程至酒店,A6->酒店,13:42,14:54,1.2
第4天,正餐,酒店/周边,14:54,15:54,1.0
第5天,起床早餐与整装,酒店,07:00,08:30,1.5
第5天,酒店至景点通勤,酒店->A5,08:30,09:06,0.6
第5天,景点游览,A5,09:06,12:06,3.0
第5天,午餐,途中/景区周边,12:06,13:06,1.0
第5天,景点间通勤,A5->A1,13:06,13:24,0.3
第5天,景点游览,A1,13:24,16:54,3.5
第5天,返程至酒店,A1->酒店,16:54,17:24,0.5
